shobi_code,shobi_name,inspired_by,brand,gender,status,new,shobi_url,identity_source_type,identity_source_url,identity_verified,identity_match_rule,secondary_identity_source,fragrantica_url,top_notes,heart_notes,base_notes,notes,season,image,description,last_built_utc
2839-JUL N,POWDER LOVE,POWDER LOVE,,unisex,IN_STOCK,1,https://leparfum.com.gr/el/niche-αρώματα/2839-jul-n#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/niche-αρώματα/2839-jul-n#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,https://www.fragrantica.com/perfume/Juliette-Has-A-Gun/Powder-Love-113627.html,,,,,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/113627.avif,"2839-JUL Εμπνευσμένο από τις αρωματικές νότες του POWDER LOVE. Unisex άρωμα πουδρένιο, gourmand, γλυκό, μοσχώδες και απαλά λουλουδάτο.",2026-08-17T14:04:44+00:00
2838-JIM W,I WANT CHOO WITH LOVE,I WANT CHOO WITH LOVE,,women,IN_STOCK,1,https://leparfum.com.gr/el/γυναικεία-αρώματα/2838-jim-w#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/γυναικεία-αρώματα/2838-jim-w#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,https://www.fragrantica.com/perfume/Jimmy-Choo/I-Want-Choo-With-Love-113626.html,,,,,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/113626.avif,"2838-JIM Εμπνευσμένο από τις αρωματικές νότες του I WANT CHOO WITH LOVE. Γυναικείο άρωμα λουλουδάτο, φρουτώδες, γλυκό, τριανταφυλλένιο και μοσχώδες.",2026-08-17T14:04:44+00:00
2837-GUL MP,SCANDAL POUR HOMME ELIXIR,SCANDAL POUR HOMME ELIXIR,,men,IN_STOCK,1,https://leparfum.com.gr/el/ανδρικά-αρώματα/2837-gul-mp#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/ανδρικά-αρώματα/2837-gul-mp#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Scandal-Pour-Homme-Elixir-121453.html,,,,,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/121453.avif,"2837-GUL Εμπνευσμένο από τις αρωματικές νότες του SCANDAL POUR HOMME ELIXIR. Ανδρικό άρωμα φρουτώδες, γλυκό, ξυλώδες, αρωματικό και ζεστά πικάντικο.",2026-08-17T14:04:44+00:00
2836-FRA N,MADNESS,MADNESS,Franck Boclet,unisex,IN_STOCK,1,https://leparfum.com.gr/el/niche-αρώματα/2836-fra-n#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://www.fragrantica.com/perfume/Franck-Boclet/Madness-90972.html,1,learned-shobi-brand-token+fragrantica-name-exact,https://www.fragrantica.com/perfume/Franck-Boclet/Madness-90972.html,https://www.fragrantica.com/perfume/Franck-Boclet/Madness-90972.html,Saffron | Coconut | Coconut Milk | Rum,Vanilla | Spicy Notes | Oud | Rose,Sandalwood | Patchouli | Amber | Musk,Saffron | Coconut | Coconut Milk | Rum | Vanilla | Spicy Notes | Oud | Rose | Sandalwood | Patchouli | Amber | Musk,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/90972.avif,"2836-FRA Εμπνευσμένο από τις αρωματικές νότες του MADNESS. Unisex gourmand άρωμα με καρύδα, βανίλια, ξύλα και κεχριμπάρι.",2026-08-17T14:04:44+00:00
2835-BORN N,PURPLE STAIN,PURPLE STAIN,,unisex,IN_STOCK,1,https://leparfum.com.gr/el/niche-αρώματα/2835-born-n#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/niche-αρώματα/2835-born-n#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,https://www.fragrantica.com/perfume/BORNTOSTANDOUT/Purple-Stain-102810.html,,,,,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/102810.avif,"2835-BORN Εμπνευσμένο από τις αρωματικές νότες του PURPLE STAIN. Unisex άρωμα ζεστό, πικάντικο, γλυκό, ξυλώδες, βαλσαμικό και με oud.",2026-08-17T14:04:44+00:00
2834-AMG N,SINDBAD,SINDBAD,,unisex,IN_STOCK,1,https://leparfum.com.gr/el/niche-αρώματα/2834-amg-n#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/niche-αρώματα/2834-amg-n#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,,,,,,,,"2834-AMG Εμπνευσμένο από τις αρωματικές νότες του SINDBAD. Unisex άρωμα ξυλώδες, πικάντικο, φρουτώδες, γλυκό και gourmand.",2026-08-17T14:04:44+00:00
2833-AMG N,MEANDER,MEANDER,Amouage,unisex,IN_STOCK,1,https://leparfum.com.gr/el/niche-αρώματα/2833-amg-n#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://www.fragrantica.com/perfume/amouage/meander-62859.html,1,learned-shobi-brand-token+fragrantica-name-exact,https://www.fragrantica.com/perfume/amouage/meander-62859.html,https://www.fragrantica.com/perfume/Amouage/Meander-62859.html,Olibanum | Carrot Seeds | Pink Pepper | Black Pepper,Orris | Cypriol Oil or Nagarmotha | Narcissus | Rose,Sandalwood | Olibanum | Vetiver,Olibanum | Carrot Seeds | Pink Pepper | Black Pepper | Orris | Cypriol Oil or Nagarmotha | Narcissus | Rose | Sandalwood | Vetiver,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/62859.avif,"2833-AMG Εμπνευσμένο από τις αρωματικές νότες του MEANDER. Unisex άρωμα με ξυλώδεις, πουδρένιες, γήινες, πικάντικες και βαλσαμικές νότες.",2026-08-17T14:04:44+00:00
2832-ZAD W,Zadig Eau de Parfum,Zadig Eau de Parfum,,women,IN_STOCK,1,https://leparfum.com.gr/el/γυναικεία-αρώματα/2832-zad-w#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/γυναικεία-αρώματα/2832-zad-w#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,https://www.fragrantica.com/perfume/Zadig-Voltaire/Zadig-Eau-de-Parfum-103492.html,,,,,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/103492.avif,"2832-ZAD W Εμπνευσμένο από τις αρωματικές νότες του Zadig Eau de Parfum. Γυναικείο άρωμα λευκό λουλουδάτο, βανίλια, εσπεριδοειδή, φρέσκο ​​πικάντικο, πουδρένιο, ξυλώδες, γλυκό, φρέσκο, ζεστό πικάντικο, σαπουνοειδές.",2026-08-17T14:04:44+00:00
2831-GISS,2831-GISS,2831-GISS,,unisex,IN_STOCK,1,https://leparfum.com.gr/el/elegant-αρώματα/Martinique_Osmanthus_Gissah_type#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_CATALOG_UNRESOLVED_IDENTITY,,0,,,,,,,,,,"2831-GISS Εμπνευσμένο από τις νότες αρώματος του Martinique Osmanthus Gissah 2025. Unisex άρωμα φρουτώδες, λουλουδάτο, καραμέλα, λευκό λουλουδάτο, αμύγδαλο, γλυκό, ξηρό, λακτονικό, απαλά πικάντικο.",2026-08-17T14:04:44+00:00
2830-VAL,2830-VAL,2830-VAL,,unisex,IN_STOCK,1,https://leparfum.com.gr/el/elegant-αρώματα/2830-val#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_CATALOG_UNRESOLVED_IDENTITY,,0,,,,,,,,,,"2830-VAL Εμπνευσμένο από τις νότες αρώματος του Sogno In Rosso. Unisex άρωμα φρέσκο ​​πικάντικο, λακτονικό, βανίλια, ξυλώδες, αρωματικό, κεχριμπαρένιο, λευκό λουλουδάτο, ζεστό πικάντικο, πουδρένιο, γλυκό.",2026-08-17T14:04:44+00:00
2829-PARF N,Athenais,Athenais,,women,IN_STOCK,1,https://leparfum.com.gr/el/niche-αρώματα/2829-parf-n#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/niche-αρώματα/2829-parf-n#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,,,,,,,,"2829-PARF N Εμπνευσμένο από τις αρωματικές νότες του Athenais. Γυναικείο άρωμα λευκό λουλουδάτο, εσπεριδοειδές, βανίλια, γλυκό, λουλουδάτο, κεχριμπάρι, φρέσκο ​​πικάντικο.",2026-08-17T14:04:44+00:00
2828-ATEL N,2828-ATEL N,2828-ATEL N,,unisex,IN_STOCK,1,https://leparfum.com.gr/el/niche-αρώματα/Vanille_Carbone_αρωμα#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_CATALOG_UNRESOLVED_IDENTITY,,0,,,,,,,,,,"2828-ATEL N Εμπνευσμένο από τις νότες αρώματος Vanille Carbone Atelier Materi. Unisex άρωμα βανίλιας, φρέσκο ​​πικάντικο, κεχριμπάρι, δέρμα, απαλό πικάντικο, ζεστό πικάντικο, πουδρένιο, γλυκό, βαλσάμικο, ζωώδες.",2026-08-17T14:04:44+00:00
2827-BYR N,Bal d'Afrique Absolu,Bal d'Afrique Absolu,,unisex,IN_STOCK,1,https://leparfum.com.gr/el/niche-αρώματα/absolu_arwmata#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/niche-αρώματα/absolu_arwmata#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,,,,,,,,"2827-BYR N Εμπνευσμένο από τις αρωματικές νότες του Bal d'Afrique Absolu. Unisex άρωμα εσπεριδοειδών, ξυλώδες, αρωματικό, γλυκό, κεχριμπαρένιο, φρουτώδες, πουδρένιο, ζωώδες, μόσχος.",2026-08-17T14:04:44+00:00
2826-SOL,2826-SOL,2826-SOL,,women,IN_STOCK,1,https://leparfum.com.gr/el/elegant-αρώματα/Cheirosa_91_Sol_arwmata_typou#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_CATALOG_UNRESOLVED_IDENTITY,,0,,,https://www.fragrantica.com/perfume/Sol-de-Janeiro/Cheirosa-91-119651.html,Passionfruit | Pink Pepper,Pink Rose | Magnolia | Cream | Pistachio,Honey | Amber | Sugar | Caramel | Sandalwood,Passionfruit | Pink Pepper | Pink Rose | Magnolia | Cream | Pistachio | Honey | Amber | Sugar | Caramel | Sandalwood,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/119651.avif,"A fragrance centered around Passion fruit, Pink pepper, Pink rose.",2026-08-17T14:04:44+00:00
2825-RARB,Rare Beauty,Rare Beauty,,unisex,IN_STOCK,1,https://leparfum.com.gr/el/elegant-αρώματα/rare_beauty_arwma#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/elegant-αρώματα/rare_beauty_arwma#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,,,,,,,,"2825-RARB Εμπνευσμένο από τις αρωματικές νότες του Rare Beauty. Unisex άρωμα βανίλιας, γλυκό, πουδρένιο, καραμέλας, ξυλώδες, μόσχος, φρέσκο ​​πικάντικο, κακάο.",2026-08-17T14:04:44+00:00
2824-NRO W,2824-NRO W,2824-NRO W,,women,IN_STOCK,1,https://leparfum.com.gr/el/γυναικεία-αρώματα/μασκ_αρωματα#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_CATALOG_UNRESOLVED_IDENTITY,,0,,,,,,,,,,"2824-NRO W Εμπνευσμένο από τις νότες αρώματος του Pure Musc Blanc For Her. Γυναικείο άρωμα λευκό λουλουδάτο, φρέσκο, μόσχος, αλδεϋδικό, πουδρένιο, βανίλια, ζωώδες.",2026-08-17T14:04:44+00:00
2823-KAY,Eden Plush Pear | 23 Kayali,Eden Plush Pear | 23 Kayali,,women,IN_STOCK,1,https://leparfum.com.gr/el/elegant-αρώματα/Eden_Plush_Pear_αρωμα_τυπου#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/elegant-αρώματα/Eden_Plush_Pear_αρωμα_τυπου#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,https://www.fragrantica.com/perfume/Kayali-Fragrances/Eden-Plush-Pear-23-Eau-de-Parfum-127453.html,Pear | Mandarin | Bergamot,Freesia | Gardenia | Coconut Water | Lily of the Valley | Orange Blossom,Vanilla Caviar | Cashmere Wood | Sandalwood,Pear | Mandarin | Bergamot | Freesia | Gardenia | Coconut Water | Lily of the Valley | Orange Blossom | Vanilla Caviar | Cashmere Wood | Sandalwood,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/127453.avif,"A fragrance centered around Pear, Bergamot, Mandarin orange.",2026-08-17T14:04:44+00:00
2822-DRC W,Addict Purple Glow Eau De Parfum,Addict Purple Glow Eau De Parfum,,women,IN_STOCK,1,https://leparfum.com.gr/el/γυναικεία-αρώματα/eau_de_parfum#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/γυναικεία-αρώματα/eau_de_parfum#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,,,,,,,,"2822-DRC W Εμπνευσμένο από τις αρωματικές νότες του Addict Purple Glow Eau De Parfum. Γυναικείο άρωμα φρουτώδες, ίριδας, γλυκό, πουδρένιο, βιολέτα, βανίλια, γήινο.",2026-08-17T14:04:44+00:00
2821-DRC W,Addict Peachy Glow Eau de Parfum,Addict Peachy Glow Eau de Parfum,,women,IN_STOCK,1,https://leparfum.com.gr/el/γυναικεία-αρώματα/peachy_arwmata#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/γυναικεία-αρώματα/peachy_arwmata#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,,,,,,,,"2821-DRC W Εμπνευσμένο από τις αρωματικές νότες του Addict Peachy Glow Eau de Parfum. Γυναικείο άρωμα βανίλιας, γλυκό, φρουτώδες, λευκό λουλουδάτο, πουδρένιο, λακτονικό.",2026-08-17T14:04:44+00:00
2820-MIN N,Queening Mind Games,Queening Mind Games,,unisex,IN_STOCK,1,https://leparfum.com.gr/el/niche-αρώματα/Queening_Mind_Games_type#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/niche-αρώματα/Queening_Mind_Games_type#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,https://www.fragrantica.com/perfume/Mind-Games/Queening-89898.html,,,,,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/89898.avif,"2820-MIN N Εμπνευσμένο από τις αρωματικές νότες του Queening Mind Games. Unisex άρωμα πουδρέ, βανίλια, καρύδα, ίριδα, γλυκό, μοσχοβολιστό, φρουτώδες.",2026-08-17T14:04:44+00:00
2819-AKR,Awake Akro,Awake Akro,,unisex,IN_STOCK,1,https://leparfum.com.gr/el/elegant-αρώματα/2819-akr#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/elegant-αρώματα/2819-akr#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,,,,,,,,"2819-AKR Εμπνευσμένο από τις αρωματικές νότες του Awake Akro. Unisex άρωμα ζεστό πικάντικο, καφέ, αρωματικό, εσπεριδοειδές, ξυλώδες.",2026-08-17T14:04:44+00:00
2818-SWISA N,Shaghaf Oud Swiss Arabian,Shaghaf Oud Swiss Arabian,,unisex,IN_STOCK,1,https://leparfum.com.gr/el/niche-αρώματα/Swiss_Arabian_αρωματα_τυπου#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_OFFICIAL_EXPLICIT,https://leparfum.com.gr/el/niche-αρώματα/Swiss_Arabian_αρωματα_τυπου#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,1,shobi-explicit-inspired-by,,https://www.fragrantica.com/perfume/Swiss-Arabian/Shaghaf-Oud-50582.html,,,,,,https://raw.githubusercontent.com/MarvvRed/Shobi-Perfume-Inspiration/fragrantica-image-cache/images/50582.avif,"2818-SWISA N Εμπνευσμένο από τις αρωματικές νότες του Shaghaf Oud Swiss Arabian. Unisex άρωμα γλυκό, ουντ, βανίλια, τριαντάφυλλο, ζεστό πικάντικο, λακτονικό, ξηρό, μεταλλικό, πουδρένιο.",2026-08-17T14:04:44+00:00
2817-INI LUX,2817-INI LUX,2817-INI LUX,,unisex,IN_STOCK,1,https://leparfum.com.gr/el/αρώματα-luxury/greatness_perfume#/1-επιλέξτε-άρωμα/2-μπουκάλι-30ml/3-ενίσχυση-0ml,SHOBI_CATALOG_UNRESOLVED_IDENTITY,,0,,,,,,,,,,"2817-INI LUX Εμπνευσμένο από τις νότες αρώματος του Oud for Greatness Neo Initio Parfums. Unisex άρωμα φρέσκο ​​πικάντικο, αρωματικό, oud, λεβάντα, ξυλώδες, εσπεριδοειδές, ζεστό πικάντικο, κωνοφόρο.",2026-08-17T14:04:44+00:00
